"3,750,000","Sadaf 8, Sadaf, Jumeirah Beach Residence (JBR), Dubai, UAE",4 beds,5 baths,"2,784 sqft",https://dubai.dubizzle.com/property-for-sale/residential/apartment/2024/9/27/exquisite-4br-maids-room-high-floor-full-m-2-931/,N/A
"4,500,000","Rimal 5, Rimal, Jumeirah Beach Residence (JBR), Dubai, UAE",3 beds,5 baths,"2,418 sqft",https://dubai.dubizzle.com/property-for-sale/residential/apartment/2024/9/2/sea-view-high-floor-unit--2-556/,N/A
"8,500,000","Jumeirah Gate Tower 2, The Address Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR), Dubai, UAE",2 beds,4 baths,"1,816 sqft",https://dubai.dubizzle.com/property-for-sale/residential/apartment/2024/8/9/marina-view-vacant-fully-furnished-2-065/,N/A
"6,680,000","Jumeirah Gate Tower 1, The Address Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR), Dubai, UAE",2 beds,3 baths,"1,167 sqft",https://dubai.dubizzle.com/property-for-sale/residential/apartment/2024/7/31/vacant-facing-jbr-video-tour-2-936/,N/A
"6,680,000","Jumeirah Gate Tower 1, The Address Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR), Dubai, UAE",2 beds,3 baths,"1,167 sqft",https://dubai.dubizzle.com/property-for-sale/residential/apartment/2024/7/31/vacant-facing-jbr-video-tour-2-936/,N/A
"4,575,000","Sadaf 1, Sadaf, Jumeirah Beach Residence (JBR), Dubai, UAE",3 beds,3 baths,"2,219 sqft",https://dubai.dubizzle.com/property-for-sale/residential/apartment/2024/8/5/duplex-vot-high-floor-video-tour-2-829/,N/A
"7,500,000","Al Bateen Towers, The Walk, Jumeirah Beach Residence (JBR), Dubai, UAE",3 beds,5 baths,"2,305 sqft",https://dubai.dubizzle.com/property-for-sale/residential/apartment/2024/9/19/spacious-3-bed-plus-maids-vacant-furnished-2-516/,N/A
"2,700,000","Sadaf 8, Sadaf, Jumeirah Beach Residence (JBR), Dubai, UAE",3 beds,4 baths,"1,908 sqft",https://dubai.dubizzle.com/property-for-sale/residential/apartment/2024/9/13/great-location-large-layout-fabulous-poten-2-629/,N/A
"4,300,000","Jumeirah Gate Tower 1, The Address Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR), Dubai, UAE",2 beds,3 baths,"1,149 sqft",https://dubai.dubizzle.com/property-for-sale/residential/apartment/2024/9/17/hot-deal-vot-motivated-seller-marina-views-2-155/,N/A
"2,300,000","Sadaf 7, Sadaf, Jumeirah Beach Residence (JBR), Dubai, UAE",1 bed,2 baths,"1,466 sqft",https://dubai.dubizzle.com/property-for-sale/residential/apartment/2024/7/5/fully-furnished-1-br-apt-luxury-living-2-623/,N/A
"1,850,000","Rimal 4, Rimal, Jumeirah Beach Residence (JBR), Dubai, UAE",1 bed,2 baths,"1,058 sqft",https://dubai.dubizzle.com/property-for-sale/residential/apartment/2024/6/28/spacious-and-upgraded-prime-location-vacan-2-202/,N/A
"3,150,000","La Vie, Jumeirah Beach Residence (JBR), Dubai, UAE",1 bed,1 bath,912 sqft,https://dubai.dubizzle.com/property-for-sale/residential/apartment/2023/8/30/genuine-resale-spacious-unit-handover-in-n-2-915/,N/A
"1,800,000","Rimal 3, Rimal, Jumeirah Beach Residence (JBR), Dubai, UAE",1 bed,2 baths,929 sqft,https://dubai.dubizzle.com/property-for-sale/residential/apartment/2024/6/19/spacious-fully-furnished-vacant-sea-view-2-402/,N/A
"3,500,000","Murjan 3, Murjan, Jumeirah Beach Residence (JBR), Dubai, UAE",3 beds,5 baths,"2,672 sqft",https://dubai.dubizzle.com/property-for-sale/residential/apartment/2024/9/10/-biggest-layout-specious-3br-maid-huge-ter-2-953/,N/A
"2,850,000","Murjan 1, Murjan, Jumeirah Beach Residence (JBR), Dubai, UAE",3 beds,4 baths,"1,921 sqft",https://dubai.dubizzle.com/property-for-sale/residential/apartment/2024/8/6/mid-floor-special-unit-vacant-on-transfer-2-579/,N/A
